klantnr;Omzet_Sligro;jaar;Categorie2;Segment;Hoofdactiviteit;Key_account_cluster_onderdeel
10044363;453;2025;Heart;Eten;Restaurant - fast casual;La Place
10046080;28;2025;Calippo;Leisure;Speeltuin/-hal;Monkey Town
100581;55;2023;Calippo;Eten;Fast food - snacks & frites;null
100999;446;2024;Magnum;null;null;null
101076;512;2024;Ben & Jerry's;Leisure;Casino;Holland Casino
101076;453;2025;Ben & Jerry's;Leisure;Casino;Holland Casino
101304;124;2023;Viennetta;Werken;Militaire kazerne;Paresto
101886;20;2025;Ben & Jerry's;Eten;Fast food - snacks & frites;null
102021;207;2023;Ben & Jerry's;null;null;null
102179;1079;2023;Magnum;Zorgen;Ziekenhuis;Vermaat Groep
102614;1310;2025;Heart;Slapen;Camping/camperpark;Xandrion
102696;636;2024;Cornetto;Zorgen;Bejaardentehuis/verpleeghuis;null
102710;1891;2023;Heart;Zorgen;Ziekenhuis;Vermaat Groep
102710;879;2023;Magnum;Zorgen;Ziekenhuis;Vermaat Groep
102775;59;2025;Heart;Eten;Restaurant - social dining;Procent (lid Horecapact, HPG)
102787;55;2023;Calippo;Eten;Fast food - snacks & frites;null
103114;86;2023;Calippo;Reizen;Benzinestation;Gemaq
103433;275;2025;Heart;Slapen;Camping/camperpark;Europarcs
103442;34;2024;Heart RMFK;null;null;null
103547;255;2023;Ben & Jerry's;Eten;Restaurant - social dining;null
103818;174;2023;Ben & Jerry's;Slapen;Camping/camperpark;null
10394132;39;2025;Ben & Jerry's;Eten;Restaurant - fast casual;null
103945;195;2024;Cornetto;Eten;Fast food - snacks & frites;null
10398137;637;2024;Heart;Leisure;Speeltuin/-hal;null
10414313;686;2023;Magnum;Reizen;Benzinestation;Gemaq
10419918;2509;2025;Heart;Leisure;Speeltuin/-hal;null
104228;394;2025;Calippo;Zorgen;Ziekenhuis;Vermaat Groep
104284;39;2024;Ben & Jerry's;Eten;Fast food - snacks & frites;null
10432107;26;2023;Heart;null;null;null
10432419;1164;2023;Magnum;Evenementen;Party-/zalencentrum/conferentieoord;null
10448307;83;2024;Calippo;Shoppen non food;Tuincentrum;null
104522;57;2024;Calippo;Eten;Fast food - snacks & frites;Sligro - Plaza
104988;423;2025;Calippo;Eten;Fast food - snacks & frites;null
105163;28;2025;Calippo;Grossiers;Distributiecentrum;null
105485;184;2025;Heart;Eten;Restaurant - fast casual;SAB catering
105915;1166;2023;Magnum;Drinken;Bar/café;null
105940;118;2023;Heart;Eten;Fast food - snacks & frites;null
106179;1013;2024;Ben & Jerry's;Leisure;Bioscoop;Pathé
106269;1013;2023;Magnum;Reizen;Benzinestation;Gemaq
106519;865;2024;Heart;Slapen;Bungalow-/vakantiepark;Xandrion
107051;1328;2023;Magnum;Reizen;Benzinestation;Gemaq
107068;167;2024;Heart;Eten;Restaurant - fast casual;Xandrion
107069;198;2023;Calippo;Eten;Lunch/broodjes;null
107363;96;2024;Heart;null;null;null
108015;28;2023;Calippo;null;null;null
108089;19;2023;Ben & Jerry's;Slapen;Camping/camperpark;null
108179;380;2025;Heart;Eten;Restaurant - fast casual;null
108198;369;2023;Calippo;Reizen;Benzinestation;Gemaq
108198;328;2024;Heart;Reizen;Benzinestation;Gemaq
10826643;83;2025;Calippo;Drinken;Coffee bar;null
10880441;117;2024;Ben & Jerry's;Eten;Fast food - snacks & frites;null
10883257;9929;2023;Ben & Jerry's;Eten;Fast food - overig;Shabu Shabu
10886321;283;2024;Calippo;Reizen;Benzinestation;Gemaq
108994;252;2025;Calippo;Reizen;Benzinestation;De Haan
10904778;191;2024;Heart;Leisure;Kartbaan/paintball/lasergame;null
109081;639;2024;Heart RMFK;Sporten;Zwembad;Sportfondsen
109167;1021;2025;Calippo;Shoppen food;Minimarkt/superette;Xandrion
10920692;319;2023;Carte d'Or;Slapen;Camping/camperpark;Europarcs
10927164;28;2025;Calippo;null;null;null
109280;28;2024;Calippo;Eten;Fast food - snacks & frites;null
10935479;17;2024;Heart RMFK;Eten;Fast food - snacks & frites;null
109390;26;2023;Heart;Eten;Lunch/broodjes;null
10940270;214;2024;Ben & Jerry's;Zorgen;Bejaardentehuis/verpleeghuis;null
109450;28;2024;Calippo;Eten;Fast food - snacks & frites;null
109465;360;2023;Magnum;Eten;Fast food - snacks & frites;null
109553;221;2025;Calippo;Reizen;Benzinestation;Gemaq
109592;51;2024;Heart RMFK;Leisure;Pretpark;Drievliet
10971139;1039;2023;Magnum;Eten;Restaurant - social dining;null
10971193;113;2023;Calippo;null;null;null
109899;79;2025;Ben & Jerry's;Reizen;Benzinestation;De Haan
109956;336;2025;Calippo;Reizen;Benzinestation;TANQ+
11007589;118;2024;Heart;null;null;null
110103;245;2023;Magnum;null;null;null
110126;39;2024;Ben & Jerry's;Eten;Fast food - snacks & frites;null
110885;221;2023;Calippo;Reizen;Benzinestation;Gemaq
11096280;78;2023;Heart;Eten;Restaurant - social dining;null
111156;177;2025;Ben & Jerry's;Reizen;Benzinestation;De Haan
111255;196;2025;Calippo;Reizen;Benzinestation;Gemaq
111503;56;2025;Calippo;Eten;Fast food - snacks & frites;null
111503;78;2025;Heart;Eten;Fast food - snacks & frites;null
111844;254;2023;Calippo;Eten;Restaurant - social dining;Procent (lid Horecapact, HPG)
111844;250;2023;Cornetto;Eten;Restaurant - social dining;Procent (lid Horecapact, HPG)
111909;161;2023;Magnum;Eten;Fast food - snacks & frites;null
111909;28;2024;Calippo;Eten;Fast food - snacks & frites;null
111909;28;2025;Calippo;Eten;Fast food - snacks & frites;null
11211531;273;2023;Viennetta;Eten;Restaurant - social dining;null
112229;83;2023;Calippo;Eten;Fast food - snacks & frites;null
112229;20;2025;Ben & Jerry's;Eten;Fast food - snacks & frites;null
112400;236;2025;Ben & Jerry's;Eten;Restaurant - social dining;null
112436;1294;2024;Magnum;Reizen;Benzinestation;TANQ+
11245001;57;2023;Calippo;Leisure;Bioscoop;Kinepolis
11246703;118;2023;Heart;Eten;Restaurant - fast casual;null
11246703;177;2024;Heart;Eten;Restaurant - fast casual;null
112484;682;2023;Heart;Leisure;Dagrecreatie;Xandrion
112641;110;2023;Calippo;Reizen;Benzinestation;TANQ+
112641;198;2025;Calippo;Reizen;Benzinestation;TANQ+
112698;17;2024;Heart RMFK;Eten;Fast food - snacks & frites;null
112762;338;2023;Calippo;Reizen;Benzinestation;Spar Express
11277836;59;2025;Heart;Drinken;Coffee bar;null
11290648;404;2023;Magnum;Leisure;Speeltuin/-hal;null
11290648;938;2023;Heart;Leisure;Speeltuin/-hal;null
11290660;168;2024;Calippo;Leisure;Speeltuin/-hal;Jumpsquare
11293634;393;2023;Ben & Jerry's;Reizen;Benzinestation;Gemaq
11293634;3438;2024;Magnum;Reizen;Benzinestation;Gemaq
